=== Job started on Wed 29 Apr 23:29:16 WEST 2026 ===
Running on node(s): cnx027
Python executable: /projects/F202508983CPCAA0/jcorreia/work/react_selection_x86/bin/python
Python 3.12.3
sys.path ok, site: 
Embedder: smarts_transformer
FP output : data/processed/template_fingerprints_smarts_256.npy
Meta output: data/processed/template_metadata.parquet
23:29:50  INFO     === Template fingerprint pre-computation ===
23:29:50  INFO     Templates : /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:50  INFO     embedder=smarts_transformer
23:29:53  INFO     Loaded 361751 templates from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:53  INFO     Loading SMARTS transformer from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/models/smarts_embedder
23:30:49  INFO     SMARTS transformer loaded  dim=256
04:34:41  INFO     Embedded 202000 / 361751  (55.8%)  ETA 14418s
04:36:56  INFO     Embedded 203000 / 361751  (56.1%)  ETA 14364s
04:37:23  INFO     Embedded 204000 / 361751  (56.4%)  ETA 14224s
04:38:20  INFO     Embedded 205000 / 361751  (56.7%)  ETA 14108s
04:38:40  INFO     Embedded 206000 / 361751  (56.9%)  ETA 13966s
04:40:46  INFO     Embedded 207000 / 361751  (57.2%)  ETA 13903s
04:42:08  INFO     Embedded 208000 / 361751  (57.5%)  ETA 13807s
04:44:04  INFO     Embedded 209000 / 361751  (57.8%)  ETA 13737s
04:45:04  INFO     Embedded 210000 / 361751  (58.1%)  ETA 13625s
04:45:48  INFO     Embedded 211000 / 361751  (58.3%)  ETA 13503s
04:46:57  INFO     Embedded 212000 / 361751  (58.6%)  ETA 13399s
04:48:18  INFO     Embedded 213000 / 361751  (58.9%)  ETA 13303s
04:49:14  INFO     Embedded 214000 / 361751  (59.2%)  ETA 13191s
04:50:42  INFO     Embedded 215000 / 361751  (59.4%)  ETA 13101s
04:53:05  INFO     Embedded 216000 / 361751  (59.7%)  ETA 13047s
04:54:26  INFO     Embedded 217000 / 361751  (60.0%)  ETA 12952s
04:55:30  INFO     Embedded 218000 / 361751  (60.3%)  ETA 12846s
04:56:40  INFO     Embedded 219000 / 361751  (60.5%)  ETA 12744s
04:58:02  INFO     Embedded 220000 / 361751  (60.8%)  ETA 12650s
04:59:05  INFO     Embedded 221000 / 361751  (61.1%)  ETA 12544s
04:59:52  INFO     Embedded 222000 / 361751  (61.4%)  ETA 12428s
05:00:26  INFO     Embedded 223000 / 361751  (61.6%)  ETA 12305s
05:01:18  INFO     Embedded 224000 / 361751  (61.9%)  ETA 12194s
05:02:10  INFO     Embedded 225000 / 361751  (62.2%)  ETA 12083s
05:03:04  INFO     Embedded 226000 / 361751  (62.5%)  ETA 11974s
05:03:31  INFO     Embedded 227000 / 361751  (62.8%)  ETA 11850s
